@relation tsy20
 
@attribute timestamp numeric 
@attribute rmsAmin numeric 
@attribute rmsAmax numeric 
@attribute rmsAmean numeric 
@attribute rmsAstd numeric 
@attribute xAmin numeric 
@attribute xAmax numeric 
@attribute xAmean numeric 
@attribute xAstd numeric 
@attribute yAmin numeric 
@attribute yAmax numeric 
@attribute yAmean numeric 
@attribute yAstd numeric 
@attribute zAmin numeric 
@attribute zAmax numeric 
@attribute zAmean numeric 
@attribute zAstd numeric 
@attribute xGmin numeric 
@attribute xGmax numeric 
@attribute xGmean numeric 
@attribute xGstd numeric 
@attribute yGmin numeric 
@attribute yGmax numeric 
@attribute yGmean numeric 
@attribute yGstd numeric 
@attribute zGmin numeric 
@attribute zGmax numeric 
@attribute zGmean numeric 
@attribute zGstd numeric 
@attribute level {yes,no} 
 
@data 
1.467506425766E12,0.6326355207705748,1.4141556790879348,1.0087227589510896,0.17119295383866176,-1.1291504,1.2375488,-0.33867798000000005,0.7961379253882434,-1.2697754,0.16186523,-0.3723022476000001,0.3571699662628613,-0.35424805,0.48901367,0.01981811428125,0.17809591648782347,-1.1171875,1.3291016,-0.33250121615,0.7984053328649037,-1.3083496,0.11230469,-0.39642334217499997,0.36532334066363936,-0.3095703,0.4416504,0.0246765144525,0.16909638059666462,yes
1.467506435828E12,0.5111168936728689,1.3559163990792218,1.0335929256163112,0.16183309890531805,-1.2358398,1.2028809,-0.34855489331914896,0.758105674231733,-1.2451172,0.061523438,-0.36487076321276596,0.3181567948613896,-0.10107422,0.7402344,0.33376101336170216,0.2292132780232012,-1.175293,1.206543,-0.32974568,0.7282084222755961,-1.244873,0.084228516,-0.37040288008723404,0.317554890547822,-0.13061523,0.6760254,0.3311533823404255,0.21639572452531114,yes
1.467506449579E12,0.27295697244605294,2.987995565514166,1.0437361506692397,0.4087718350036913,-1.1848145,2.7978516,-0.24604992989743588,0.9257534709769892,-1.0390625,0.08911133,-0.3030974573589744,0.30570896615227316,-0.17919922,0.8195801,0.2643354374358975,0.2893445077236761,-1.0092773,2.0827637,-0.26402243128205133,0.805419056927688,-1.1040039,0.16772461,-0.30659054548717957,0.32272288085666617,-0.30664063,0.798584,0.2609863286589743,0.31194631536365663,yes
1.467506467759E12,0.5770510414052659,2.263877990046326,1.0491040804580845,0.3189007084044276,-1.1557617,2.2321777,-0.29483570610294113,0.9467862364629598,-1.3571777,0.22875977,-0.24039952901470585,0.3337897612729679,-0.53564453,0.52563477,0.06426643022852942,0.21365170247451168,-1.137207,1.9907227,-0.28659954764705875,0.9263520043591874,-1.3310547,0.1772461,-0.23178280061764708,0.32444318366570324,-0.6611328,0.5900879,0.06685862890735296,0.24346258859179717,yes
1.467506481635E12,0.5753776401814737,1.991695193455727,1.0032488339033403,0.2320834758065804,-1.1481934,1.6523438,-0.3141704330000002,0.8654753472019019,-1.0991211,0.10253906,-0.24662058067105272,0.32215897567164464,-0.23120117,0.4309082,0.12067614214210527,0.18289198229168815,-1.1616211,2.4953613,-0.2921014055263158,0.9224920980651802,-1.0842285,0.20654297,-0.2463635891289473,0.33032632495427994,-0.28955078,0.47338867,0.1280646075526316,0.17828114483437033,yes
1.467506494868E12,0.6668804869356962,1.4448388282259224,1.0157166646422005,0.18812674908058452,-1.15625,1.4052734,-0.3151020242105262,0.8293774198444128,-1.2543945,0.0690918,-0.3684467509473684,0.3202336838900897,-0.41064453,0.44970703,0.08363743847631579,0.18605908912436697,-1.1413574,1.3010254,-0.32011333684210536,0.8294249458262112,-1.1467285,0.055908203,-0.36296001184210525,0.3239618074000511,-0.39819336,0.45996094,0.08160721628289473,0.15804949775282634,yes
1.467506506803E12,0.08213109505092409,2.064730500083857,1.036097807758882,0.3615419711990537,-1.1899414,1.9150391,-0.3097067441176472,0.9682450364014098,-0.954834,0.11010742,-0.21270393004794122,0.27145575653561543,-0.3112793,0.81811523,0.06773466239705883,0.21742900498583725,-1.137207,2.2438965,-0.29862706870588235,1.0040662941669252,-1.0561523,0.10913086,-0.20341940367941183,0.26564263476593225,-0.375,0.8376465,0.07887178416470586,0.23894452736304403,yes
1.467506518892E12,0.6616109087115041,2.2779474046284807,1.0558546409435994,0.30766863331126976,-1.2382813,2.1435547,-0.25929888191176476,0.9771290897847549,-1.0273438,0.29882813,-0.26301844073529407,0.3192453335710635,-0.37402344,0.22241211,0.011546415641176472,0.1274450453081784,-1.1838379,1.9499512,-0.2895579644117647,0.9453960467485464,-1.111084,0.17773438,-0.2679227930514706,0.31359288543455116,-0.21850586,0.33251953,0.013707777441176471,0.13295048518771815,yes
1.467506530739E12,0.5030010826234182,1.8155578975382913,1.0113719041195017,0.23496475618686571,-1.1674805,1.7385254,-0.3745309947368421,0.8868455263137389,-0.99731445,0.14135742,-0.23894299984210524,0.2483881749651669,-0.12573242,0.4099121,0.12908614300000001,0.12593425499168817,-1.159668,1.6872559,-0.3687808395526315,0.8848495906958301,-1.1394043,0.21972656,-0.26191791797368424,0.28347286439294356,-0.111816406,0.41210938,0.11184210586842105,0.11632579524345708,yes
1.467506540026E12,0.37374772327375216,2.1368812957458494,1.0658903381454268,0.36248518841617255,-1.1638184,2.1142578,-0.35398356055555563,0.9279747990829985,-1.4711914,0.0925293,-0.23943413593888888,0.37596361652193633,-0.8647461,0.52612305,-0.03495957999999999,0.2849151053582946,-1.1835938,2.265625,-0.3728027358333333,0.9168651032069396,-1.2512207,0.4189453,-0.23657904907694446,0.37014416805172795,-0.80444336,0.5109863,-0.025756835895833337,0.2899539196928832,yes
